datetime,IF.CFFEX
2023-08-08,-134703.19800000085
2023-08-09,-134703.19800000085
2023-08-10,-134703.19800000085
2023-08-11,-134703.19800000085
2023-08-14,-134703.19800000085
2023-08-15,-134703.19800000085
2023-08-16,-134703.19800000085
2023-08-17,-134703.19800000085
2023-08-18,-134703.19800000085
2023-08-21,-129804.27000000041
2023-08-22,-127884.27000000107
2023-08-23,-114444.2700000013
2023-08-24,-113484.27000000108
2023-08-25,-130284.27000000108
2023-08-28,-133133.55000000133
2023-08-29,-133133.55000000133
2023-08-30,-111931.85400000155
2023-08-31,-111931.85400000155
2023-09-01,-114720.65400000068
2023-09-04,-114720.65400000068
2023-09-05,-102174.60600000178
2023-09-06,-103614.60600000156
2023-09-07,-101694.60600000112
2023-09-08,-101694.60600000112
2023-09-11,-115980.79800000068
2023-09-12,-115980.79800000068
2023-09-13,-115980.79800000068
2023-09-14,-115980.79800000068
2023-09-15,-115980.79800000068
2023-09-18,-115980.79800000068
2023-09-19,-115980.79800000068
2023-09-20,-115980.79800000068
2023-09-21,-115980.79800000068
2023-09-22,-115980.79800000068
2023-09-25,-115980.79800000068
2023-09-26,-115980.79800000068
2023-09-27,-115980.79800000068
2023-09-28,-115980.79800000068
2023-10-09,-115980.79800000068
2023-10-10,-115980.79800000068
2023-10-11,-115980.79800000068
2023-10-12,-115980.79800000068
2023-10-13,-115980.79800000068
2023-10-16,-115980.79800000068
2023-10-17,-115980.79800000068
2023-10-18,-115980.79800000068
2023-10-19,-115980.79800000068
2023-10-20,-115980.79800000068
2023-10-23,-115980.79800000068
2023-10-24,-115980.79800000068
2023-10-25,-115980.79800000068
2023-10-26,-115980.79800000068
2023-10-27,-115980.79800000068
2023-10-30,-115980.79800000068
2023-10-31,-115980.79800000068
2023-11-01,-115980.79800000068
2023-11-02,-115980.79800000068
2023-11-03,-115980.79800000068
2023-11-06,-115980.79800000068
2023-11-07,-115980.79800000068
2023-11-08,-115980.79800000068
2023-11-09,-115980.79800000068
2023-11-10,-115980.79800000068
