datetime,IC.CFFEX
2023-09-26,-108716.47999999707
2023-09-27,-108716.47999999707
2023-09-28,-108716.47999999707
2023-10-09,-108716.47999999707
2023-10-10,-108716.47999999707
2023-10-11,-108716.47999999707
2023-10-12,-108716.47999999707
2023-10-13,-108716.47999999707
2023-10-16,-108716.47999999707
2023-10-17,-108716.47999999707
2023-10-18,-108716.47999999707
2023-10-19,-108716.47999999707
2023-10-20,-108716.47999999707
2023-10-23,-108716.47999999707
2023-10-24,-108716.47999999707
2023-10-25,-108716.47999999707
2023-10-26,-108716.47999999707
2023-10-27,-108716.47999999707
2023-10-30,-108716.47999999707
2023-10-31,-108716.47999999707
2023-11-01,-108716.47999999707
2023-11-02,-108716.47999999707
2023-11-03,-108716.47999999707
2023-11-06,-108716.47999999707
2023-11-07,-108716.47999999707
2023-11-08,-108716.47999999707
2023-11-09,-94180.25599999736
2023-11-10,-93860.25599999765
2023-11-13,-74020.25599999678
2023-11-14,-78500.25599999707
2023-11-15,-68580.25599999736
2023-11-16,-71780.25599999736
2023-11-17,-67300.25599999707
2023-11-20,-64740.25599999794
2023-11-21,-66221.75999999823
2023-11-22,-66221.75999999823
2023-11-23,-66221.75999999823
2023-11-24,-66221.75999999823
2023-11-27,-66221.75999999823
2023-11-28,-66221.75999999823
2023-11-29,-66221.75999999823
2023-11-30,-66221.75999999823
2023-12-01,-66221.75999999823
2023-12-04,-66221.75999999823
2023-12-05,-66221.75999999823
2023-12-06,-66221.75999999823
2023-12-07,-66221.75999999823
2023-12-08,-66221.75999999823
2023-12-11,-66221.75999999823
2023-12-12,-66221.75999999823
2023-12-13,-66221.75999999823
2023-12-14,-66221.75999999823
2023-12-15,-66221.75999999823
2023-12-18,-66221.75999999823
2023-12-19,-66221.75999999823
2023-12-20,-66221.75999999823
2023-12-21,-66221.75999999823
2023-12-22,-66221.75999999823
2023-12-25,-66221.75999999823
2023-12-26,-66221.75999999823
2023-12-27,-66221.75999999823
2023-12-28,-66221.75999999823
2023-12-29,-66221.75999999823
2024-01-02,-66221.75999999823
2024-01-03,-66221.75999999823
2024-01-04,-66221.75999999823
2024-01-05,-66221.75999999823
2024-01-08,-66221.75999999823
2024-01-09,-66221.75999999823
2024-01-10,-66221.75999999823
2024-01-11,-66221.75999999823
2024-01-12,-66221.75999999823
2024-01-15,-66221.75999999823
2024-01-16,-66221.75999999823
2024-01-17,-66221.75999999823
2024-01-18,-66221.75999999823
2024-01-19,-66221.75999999823
2024-01-22,-66221.75999999823
2024-01-23,-66221.75999999823
2024-01-24,-66221.75999999823
2024-01-25,-66221.75999999823
2024-01-26,-66221.75999999823
2024-01-29,-66221.75999999823
2024-01-30,-66221.75999999823
2024-01-31,-66221.75999999823
2024-02-01,-66221.75999999823
2024-02-02,-82449.5199999997
2024-02-05,-47249.519999999
2024-02-06,-65649.51999999877
2024-02-07,-176449.51999999807
2024-02-08,-149249.51999999734
2024-02-19,-140449.5199999999
2024-02-20,-138449.5199999999
2024-02-21,-161249.51999999917
2024-02-22,-154849.51999999955
2024-02-23,-151649.51999999883
2024-02-26,-147249.5199999992
2024-02-27,-154449.51999999816
2024-02-28,-156449.51999999996
2024-02-29,-171249.5199999992
2024-03-01,-182849.51999999775
2024-03-04,-164449.5199999981
2024-03-05,-142849.51999999775
2024-03-06,-140049.51999999848
2024-03-07,-148049.5200000003
2024-03-08,-141249.51999999923
2024-03-11,-149249.51999999923
2024-03-12,-173018.5999999996
2024-03-13,-173018.5999999996
2024-03-14,-173018.5999999996
2024-03-15,-310675.6520000006
2024-03-18,-333979.35199999996
2024-03-19,-333979.35199999996
2024-03-20,-333979.35199999996
2024-03-21,-333979.35199999996
2024-03-22,-333979.35199999996
2024-03-25,-333979.35199999996
2024-03-26,-333979.35199999996
2024-03-27,-333979.35199999996
2024-03-28,-333979.35199999996
2024-03-29,-333979.35199999996
2024-04-01,-333979.35199999996
2024-04-02,-333979.35199999996
2024-04-03,-333979.35199999996
2024-04-08,-333979.35199999996
2024-04-09,-333979.35199999996
2024-04-10,-333979.35199999996
2024-04-11,-333979.35199999996
2024-04-12,-333979.35199999996
2024-04-15,-333979.35199999996
2024-04-16,-333979.35199999996
2024-04-17,-333979.35199999996
2024-04-18,-333979.35199999996
2024-04-19,-333979.35199999996
2024-04-22,-333979.35199999996
2024-04-23,-333979.35199999996
2024-04-24,-333979.35199999996
2024-04-25,-333979.35199999996
2024-04-26,-333979.35199999996
2024-04-29,-333979.35199999996
2024-04-30,-333979.35199999996
2024-05-06,-333979.35199999996
2024-05-07,-333431.3600000006
2024-05-08,-323351.36
2024-05-09,-324791.36000000034
2024-05-10,-318311.3599999997
2024-05-13,-318311.3599999997
2024-05-14,-323711.3599999997
2024-05-15,-325151.36000000004
2024-05-16,-323351.3600000017
2024-05-17,-329111.3600000014
2024-05-20,-326951.3600000001
2024-05-21,-329471.35999999946
2024-05-22,-321191.36000000045
2024-05-23,-330551.3600000001
2024-05-24,-325511.3600000014
2024-05-27,-313271.36000000103
2024-05-28,-312191.3600000004
2024-05-29,-311831.36000000074
2024-05-30,-309311.35999999975
2024-05-31,-300052.9160000001
2024-06-03,-300052.9160000001
2024-06-04,-300052.9160000001
2024-06-05,-297269.9359999994
2024-06-06,-278637.2360000001
2024-06-07,-278637.2360000001
2024-06-11,-278637.2360000001
2024-06-12,-278637.2360000001
2024-06-13,-278637.2360000001
2024-06-14,-278637.2360000001
2024-06-17,-278637.2360000001
2024-06-18,-278637.2360000001
2024-06-19,-278637.2360000001
2024-06-20,-278637.2360000001
2024-06-21,-278637.2360000001
2024-06-24,-278637.2360000001
2024-06-25,-278637.2360000001
2024-06-26,-278637.2360000001
2024-06-27,-278637.2360000001
2024-06-28,-278637.2360000001
2024-07-01,-278637.2360000001
2024-07-02,-278637.2360000001
2024-07-03,-278637.2360000001
2024-07-04,-278637.2360000001
2024-07-05,-278637.2360000001
2024-07-08,-278637.2360000001
2024-07-09,-278637.2360000001
2024-07-10,-278637.2360000001
2024-07-11,-278637.2360000001
2024-07-12,-278637.2360000001
2024-07-15,-278637.2360000001
2024-07-16,-278637.2360000001
2024-07-17,-278637.2360000001
2024-07-18,-278637.2360000001
2024-07-19,-278637.2360000001
2024-07-22,-278637.2360000001
2024-07-23,-278637.2360000001
2024-07-24,-278637.2360000001
2024-07-25,-278637.2360000001
2024-07-26,-278637.2360000001
2024-07-29,-278637.2360000001
2024-07-30,-278637.2360000001
2024-07-31,-278637.2360000001
2024-08-01,-278637.2360000001
2024-08-02,-258139.15599999862
2024-08-05,-253739.155999999
2024-08-06,-253739.155999999
2024-08-07,-257739.155999999
2024-08-08,-267339.1559999994
2024-08-09,-259339.15599999938
2024-08-12,-263339.1559999994
2024-08-13,-262939.1559999997
