datetime,pnl,cost,net_pnl,pair,position_value
2025-03-04,8960.000000000582,0.0,8960.000000000582,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-05,18239.999999999418,0.0,18239.999999999418,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-06,7360.000000000582,0.0,7360.000000000582,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-07,16000.0,0.0,16000.0,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-10,13759.999999999127,0.0,13759.999999999127,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-11,22400.000000001455,0.0,22400.000000001455,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-12,14719.999999999709,0.0,14719.999999999709,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-13,-23360.000000000582,0.0,-23360.000000000582,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-14,-32959.99999999913,0.0,-32959.99999999913,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-17,17919.999999998254,0.0,17919.999999998254,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-18,2880.0000000017462,0.0,2880.0000000017462,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-19,5119.999999999709,0.0,5119.999999999709,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-20,0.0,0.0,0.0,,0.0
2025-03-21,0.0,0.0,0.0,,0.0
2025-03-24,0.0,0.0,0.0,,0.0
2025-03-25,0.0,0.0,0.0,,0.0
2025-03-26,0.0,0.0,0.0,,0.0
2025-03-27,0.0,0.0,0.0,,0.0
2025-03-28,0.0,0.0,0.0,,0.0
2025-03-31,0.0,0.0,0.0,,0.0
2025-04-01,0.0,0.0,0.0,,0.0
2025-04-02,0.0,0.0,0.0,,0.0
2025-04-03,0.0,0.0,0.0,,0.0
2025-04-07,0.0,0.0,0.0,,0.0
2025-04-08,0.0,0.0,0.0,,0.0
2025-04-09,0.0,0.0,0.0,,0.0
2025-04-10,0.0,0.0,0.0,,0.0
2025-04-11,0.0,0.0,0.0,,0.0
2025-04-14,0.0,0.0,0.0,,0.0
2025-04-15,0.0,0.0,0.0,,0.0
2025-04-16,0.0,0.0,0.0,,0.0
2025-04-17,0.0,0.0,0.0,,0.0
