datetime,product,vt_symbol,role,near,far,prev_lots,curr_lots,change
2024-03-15,IC,IC2403.CFFEX,unknown,IC2404.CFFEX,IC2404.CFFEX,3.0,0.0,-3.0
2024-03-15,IC,IC2404.CFFEX,near,IC2404.CFFEX,IC2404.CFFEX,-3.0,0.0,3.0
2024-03-15,IF,IF2403.CFFEX,unknown,IF2404.CFFEX,IF2404.CFFEX,3.0,0.0,-3.0
2024-03-15,IF,IF2404.CFFEX,near,IF2404.CFFEX,IF2404.CFFEX,-3.0,0.0,3.0
2024-03-15,IM,IM2403.CFFEX,unknown,IM2404.CFFEX,IM2404.CFFEX,3.0,0.0,-3.0
2024-03-15,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2404.CFFEX,-3.0,0.0,3.0
2024-03-18,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2406.CFFEX,0.0,2.0,2.0
2024-03-18,IM,IM2406.CFFEX,far,IM2404.CFFEX,IM2406.CFFEX,0.0,-2.0,-2.0
2024-03-19,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2404.CFFEX,2.0,0.0,-2.0
2024-03-19,IM,IM2406.CFFEX,unknown,IM2404.CFFEX,IM2404.CFFEX,-2.0,0.0,2.0
2024-03-28,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2406.CFFEX,0.0,3.0,3.0
2024-03-28,IM,IM2406.CFFEX,far,IM2404.CFFEX,IM2406.CFFEX,0.0,-3.0,-3.0
2024-04-01,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2404.CFFEX,3.0,0.0,-3.0
2024-04-01,IM,IM2406.CFFEX,unknown,IM2404.CFFEX,IM2404.CFFEX,-3.0,0.0,3.0
2024-05-06,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,0.0,3.0,3.0
2024-05-06,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,0.0,-3.0,-3.0
2024-05-06,IF,IF2406.CFFEX,near,IF2406.CFFEX,IF2409.CFFEX,0.0,3.0,3.0
2024-05-06,IF,IF2409.CFFEX,far,IF2406.CFFEX,IF2409.CFFEX,0.0,-3.0,-3.0
