datetime,IM.CFFEX,IC.CFFEX,IF.CFFEX
2023-09-05,6717.2239999992025,-42840.32800000049,-38666.94000000054
2023-09-06,5757.223999999348,-41000.32800000034,-39026.94000000048
2023-09-07,7597.22399999913,-41080.32800000027,-38546.94000000037
2023-09-08,7917.2239999992025,-39080.32800000027,-38546.94000000037
2023-09-11,8797.223999999129,-38680.32800000027,-36026.94000000048
2023-09-12,7517.223999999202,-41640.328000000125,-36266.94000000054
2023-09-13,4224.991999999202,-44421.2000000002,-34946.94000000038
2023-09-14,4224.991999999202,-44421.2000000002,-32906.94000000032
2023-09-15,4224.991999999202,-58318.87199999998,-37797.480000000374
2023-09-18,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-19,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-20,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-21,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-22,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-25,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-26,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-27,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-09-28,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-09,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-10,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-11,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-12,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-13,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-16,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-17,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-18,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-19,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-20,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-23,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-24,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-25,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-26,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-27,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-30,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-10-31,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-11-01,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-11-02,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-11-03,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-11-06,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-11-07,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-11-08,4224.991999999202,-52146.79199999998,-37797.480000000374
2023-11-09,4224.991999999202,-48512.736000000055,-37797.480000000374
2023-11-10,4224.991999999202,-48432.73600000013,-37797.480000000374
2023-11-13,4224.991999999202,-43472.73599999991,-37797.480000000374
2023-11-14,10619.663999998766,-44592.73599999998,-37797.480000000374
2023-11-15,11339.663999998838,-42112.736000000055,-37797.480000000374
2023-11-16,15019.66399999913,-42912.736000000055,-37797.480000000374
2023-11-17,17099.66399999906,-41792.73599999998,-37797.480000000374
2023-11-20,20219.66399999913,-41152.7360000002,-37542.600000000784
2023-11-21,17099.66399999906,-39152.7360000002,-34122.60000000062
2023-11-22,10779.663999998986,-42192.73599999998,-34842.60000000078
2023-11-23,12459.663999999277,-41552.7360000002,-34662.60000000094
2023-11-24,13339.66399999884,-42272.73599999991,-34482.60000000069
2023-11-27,16539.66399999884,-40512.73600000042,-32862.60000000094
2023-11-28,17739.66399999884,-40832.73600000013,-31242.600000000773
2023-11-29,17979.663999998986,-37632.73600000013,-29622.600000000606
2023-11-30,22299.66399999906,-33152.7360000002,-29442.60000000077
2023-12-01,23819.663999998767,-28832.736000000128,-31602.600000000853
2023-12-04,26379.663999998986,-26912.736000000055,-28722.60000000061
2023-12-05,34939.66399999884,-23632.736000000128,-20622.60000000061
2023-12-06,36379.663999998986,-21072.736000000274,-18102.600000000446
2023-12-07,23019.663999998767,-29392.735999999983,-20442.600000000773
