datetime,IM.CFFEX
2023-07-11,72039.09599999693
2023-07-12,72039.09599999693
2023-07-13,72039.09599999693
2023-07-14,72039.09599999693
2023-07-17,72039.09599999693
2023-07-18,72039.09599999693
2023-07-19,72039.09599999693
2023-07-20,72039.09599999693
2023-07-21,72039.09599999693
2023-07-24,72039.09599999693
2023-07-25,72039.09599999693
2023-07-26,72039.09599999693
2023-07-27,72039.09599999693
2023-07-28,72039.09599999693
2023-07-31,72039.09599999693
2023-08-01,72039.09599999693
2023-08-02,72039.09599999693
2023-08-03,72039.09599999693
2023-08-04,72039.09599999693
2023-08-07,72039.09599999693
2023-08-08,72039.09599999693
2023-08-09,72039.09599999693
2023-08-10,72039.09599999693
2023-08-11,72039.09599999693
2023-08-14,72039.09599999693
2023-08-15,72039.09599999693
2023-08-16,72039.09599999693
2023-08-17,72039.09599999693
2023-08-18,72039.09599999693
2023-08-21,72039.09599999693
2023-08-22,72039.09599999693
2023-08-23,72039.09599999693
2023-08-24,72039.09599999693
2023-08-25,72039.09599999693
2023-08-28,72039.09599999693
2023-08-29,72039.09599999693
2023-08-30,89599.73599999664
2023-08-31,90239.73599999752
2023-09-01,89279.73599999693
2023-09-04,94399.73599999664
2023-09-05,100799.73599999664
2023-09-06,96959.73599999723
2023-09-07,104319.73599999635
2023-09-08,105599.73599999664
2023-09-11,109119.73599999635
2023-09-12,103999.73599999664
2023-09-13,90830.80799999664
2023-09-14,90830.80799999664
2023-09-15,90830.80799999664
2023-09-18,90830.80799999664
2023-09-19,90830.80799999664
2023-09-20,90830.80799999664
2023-09-21,90830.80799999664
2023-09-22,90830.80799999664
2023-09-25,90830.80799999664
2023-09-26,90830.80799999664
2023-09-27,90830.80799999664
2023-09-28,90830.80799999664
2023-10-09,90830.80799999664
2023-10-10,90830.80799999664
2023-10-11,90830.80799999664
2023-10-12,90830.80799999664
2023-10-13,90830.80799999664
2023-10-16,90830.80799999664
2023-10-17,90830.80799999664
2023-10-18,90830.80799999664
2023-10-19,90830.80799999664
2023-10-20,90830.80799999664
2023-10-23,90830.80799999664
2023-10-24,90830.80799999664
2023-10-25,90830.80799999664
2023-10-26,90830.80799999664
2023-10-27,90830.80799999664
2023-10-30,90830.80799999664
2023-10-31,90830.80799999664
2023-11-01,90830.80799999664
2023-11-02,90830.80799999664
2023-11-03,90830.80799999664
2023-11-06,90830.80799999664
2023-11-07,90830.80799999664
2023-11-08,90830.80799999664
2023-11-09,90830.80799999664
2023-11-10,90830.80799999664
2023-11-13,90830.80799999664
2023-11-14,116409.49599999489
2023-11-15,119289.49599999518
2023-11-16,134009.49599999635
2023-11-17,142329.49599999606
2023-11-20,154809.49599999635
2023-11-21,142910.19999999518
2023-11-22,125595.2559999946
2023-11-23,132315.25599999574
2023-11-24,135835.255999994
2023-11-27,148635.255999994
2023-11-28,153435.255999994
2023-11-29,154395.25599999458
2023-11-30,171675.25599999487
2023-12-01,177755.2559999937
2023-12-04,184459.25599999458
2023-12-05,184459.25599999458
2023-12-06,184459.25599999458
2023-12-07,184459.25599999458
2023-12-08,184459.25599999458
2023-12-11,184459.25599999458
2023-12-12,184459.25599999458
2023-12-13,184459.25599999458
2023-12-14,184459.25599999458
2023-12-15,184459.25599999458
2023-12-18,184459.25599999458
2023-12-19,184459.25599999458
2023-12-20,184459.25599999458
2023-12-21,184459.25599999458
2023-12-22,184459.25599999458
2023-12-25,184459.25599999458
2023-12-26,184459.25599999458
2023-12-27,184459.25599999458
2023-12-28,184459.25599999458
2023-12-29,184459.25599999458
2024-01-02,184459.25599999458
2024-01-03,184459.25599999458
2024-01-04,184459.25599999458
2024-01-05,184459.25599999458
2024-01-08,184459.25599999458
2024-01-09,184459.25599999458
2024-01-10,184459.25599999458
2024-01-11,184459.25599999458
2024-01-12,184459.25599999458
2024-01-15,184459.25599999458
2024-01-16,184459.25599999458
2024-01-17,184459.25599999458
2024-01-18,184459.25599999458
