datetime,IM.CFFEX
2023-08-07,-2169.5000000030595
2023-08-08,-2169.5000000030595
2023-08-09,-2169.5000000030595
2023-08-10,-2169.5000000030595
2023-08-11,-891.1600000020444
2023-08-14,6388.839999997701
2023-08-15,-2851.1600000028084
2023-08-16,-4811.1600000022845
2023-08-17,-611.1600000022845
2023-08-18,-12371.160000003041
2023-08-21,-11811.160000002285
2023-08-22,-3131.160000002539
2023-08-23,-4811.160000002277
2023-08-24,3308.8399999979774
2023-08-25,-8171.160000001775
2023-08-28,8908.83999999797
2023-08-29,-7051.160000002787
2023-08-30,-5651.160000002787
2023-08-31,-5091.160000002023
2023-09-01,-5931.160000002532
2023-09-04,-1451.1600000027938
2023-09-05,4148.839999997206
2023-09-06,788.8399999977155
2023-09-07,7228.83999999693
2023-09-08,8348.839999997184
2023-09-11,11428.839999996937
2023-09-12,6948.839999997192
2023-09-13,-4573.972000002792
2023-09-14,-4573.972000002792
2023-09-15,-4573.972000002792
2023-09-18,-4573.972000002792
2023-09-19,-4573.972000002792
2023-09-20,-4573.972000002792
2023-09-21,-4573.972000002792
2023-09-22,-4573.972000002792
2023-09-25,-4573.972000002792
2023-09-26,-4573.972000002792
2023-09-27,-4573.972000002792
2023-09-28,-4573.972000002792
2023-10-09,-4573.972000002792
2023-10-10,-4573.972000002792
2023-10-11,-4573.972000002792
2023-10-12,-4573.972000002792
2023-10-13,-4573.972000002792
2023-10-16,-4573.972000002792
2023-10-17,-4573.972000002792
2023-10-18,-4573.972000002792
2023-10-19,-4573.972000002792
2023-10-20,-4573.972000002792
2023-10-23,-4573.972000002792
2023-10-24,-4573.972000002792
2023-10-25,-4573.972000002792
2023-10-26,-4573.972000002792
2023-10-27,-4573.972000002792
2023-10-30,-4573.972000002792
2023-10-31,-4573.972000002792
2023-11-01,-4573.972000002792
2023-11-02,-4573.972000002792
2023-11-03,-4573.972000002792
2023-11-06,-4573.972000002792
2023-11-07,-4573.972000002792
2023-11-08,-4573.972000002792
2023-11-09,-4573.972000002792
2023-11-10,-4573.972000002792
2023-11-13,-4573.972000002792
2023-11-14,21004.715999995464
2023-11-15,23884.715999995755
2023-11-16,38604.715999996915
2023-11-17,46924.715999996624
2023-11-20,59404.715999996915
2023-11-21,46924.715999996624
2023-11-22,21644.715999996333
2023-11-23,28364.715999997497
2023-11-24,31884.71599999575
2023-11-27,44684.71599999575
2023-11-28,49484.71599999575
2023-11-29,50444.71599999633
2023-11-30,67724.71599999662
2023-12-01,73804.71599999546
2023-12-04,84044.71599999633
2023-12-05,118284.71599999575
2023-12-06,124044.71599999633
2023-12-07,70604.71599999546
2023-12-08,71884.7159999972
2023-12-11,74764.7159999975
2023-12-12,72844.71599999633
2023-12-13,62919.05199999633
2023-12-14,62919.05199999633
2023-12-15,62919.05199999633
2023-12-18,62919.05199999633
2023-12-19,62919.05199999633
2023-12-20,62919.05199999633
2023-12-21,62919.05199999633
2023-12-22,62919.05199999633
2023-12-25,62919.05199999633
2023-12-26,62919.05199999633
2023-12-27,62919.05199999633
2023-12-28,62919.05199999633
2023-12-29,62919.05199999633
2024-01-02,62919.05199999633
2024-01-03,62919.05199999633
2024-01-04,62919.05199999633
2024-01-05,62919.05199999633
2024-01-08,62919.05199999633
2024-01-09,62919.05199999633
2024-01-10,62919.05199999633
2024-01-11,62919.05199999633
2024-01-12,62919.05199999633
2024-01-15,62919.05199999633
2024-01-16,62919.05199999633
2024-01-17,62919.05199999633
2024-01-18,62919.05199999633
2024-01-19,62919.05199999633
2024-01-22,62919.05199999633
2024-01-23,62919.05199999633
2024-01-24,62919.05199999633
2024-01-25,62919.05199999633
2024-01-26,62919.05199999633
2024-01-29,62919.05199999633
2024-01-30,62919.05199999633
2024-01-31,62919.05199999633
2024-02-01,62919.05199999633
2024-02-02,62919.05199999633
2024-02-05,62919.05199999633
2024-02-06,90782.57199999542
2024-02-07,82848.17199999635
2024-02-08,113725.09199999567
